INPUT:id	INPUT:image	INPUT:name
obj1180581	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/34142/2a00000163095bd65ed0becf67d856319111/orig	Джо Канутт
obj11806294	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000161c71b1b7e3de0243b219c638570/orig	Руал Хаакенсон
obj1180671	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/34142/2a00000161d427a68ffef95011ad0c1d70ba/orig	Рон Найман
obj1180912	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/34142/2a00000161d44200f83f2f9ffc5fe22136ee/orig	Брюс Уотсон
obj1181161	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000163a4c4d94b61a9f4f7bcad7baa78/orig	Умберто Паоло Квинтавалле
obj1181174	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000163a4c4da218ba2783d81fa4b9109/orig	Серджо Фашетти
obj1181205	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000161ca790fb22580bcbdb6f9ee576e/orig	Марланд Проктор
obj1181304	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/34142/2a00000161d5626b74e6f0b9d54a7b568ca4/orig	Теренс Пушман
obj11813598	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/995567/2a00000162968e8940e2e47a4ef393c5d1dd/orig	Гленн Ринкер
obj1181504	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000161c7480c1f0caf025c31a2b4bdc7/orig	Маргарет Перри
obj1181523	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000168795d704608956825d544c5ef01/orig	Роберт Портер
obj1181586	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/69229/2a0000016281bda82e9c58aa9e28cf44f841/orig	Майкл Энтони
obj118162	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000161c770a3c98e84f5878699391298/orig	Морис Филлипс
obj11816413	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/69229/2a00000161bb4e0ccb22352831c738c1d1c8/orig	Дуглас Нельсон
obj1181749	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000161ca889751174449c433ca1a7677/orig	Джанет Харгривз
obj1181855	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000161bb54dcc6c4cd610af5d946b728/orig	Уильям Свон
obj11819206	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/34142/2a00000162c43d9cea008064982f3fcc50c9/orig	Грета Экман
obj1181977	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000161d47708ce297713b4fe49eacecd/orig	Хуанита Браун
obj1569910	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/995567/2a000001625822267d69b1ef90c328fba90e/orig	Ларри Мосс
obj1570139	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/34142/2a00000161bbc1551ebf6d9655c1a086a9c7/orig	Гленн Р. Уайлдер