INPUT:query	INPUT:image_left	INPUT:image_right	INPUT:source_left	INPUT:source_right
инвентарь программиста 2019	https://storage.mds.yandex.net/get-mturk/36866/c60e5590-ae5e-473d-b385-e73741e5e112.png	https://storage.mds.yandex.net/get-mturk/139042/e6da2654-dc6a-4ba1-9f91-e1f2f4bd8f7e.png	https://habr.com/post/431654/	https://www.network-inventory-advisor.com/best-hardware-inventory-software.html
инвентарь программиста 2019	https://storage.mds.yandex.net/get-mturk/36866/c60e5590-ae5e-473d-b385-e73741e5e112.png	https://storage.mds.yandex.net/get-mturk/67555/2fdc7f9a-a8c7-46d6-a3b5-1cd4ab0fa339.png	https://habr.com/post/431654/	https://www.fl.ru/projects/3857845/php--mysql-inventar.html
инвентарь программиста 2019	https://storage.mds.yandex.net/get-mturk/36866/c60e5590-ae5e-473d-b385-e73741e5e112.png	https://storage.mds.yandex.net/get-mturk/767103/567d3c25-4728-46fa-8ef0-af5ec43a503c.png	https://habr.com/post/431654/	https://g2019.su/den-programmista-v-rossii/
инвентарь программиста 2019	https://storage.mds.yandex.net/get-mturk/36866/c60e5590-ae5e-473d-b385-e73741e5e112.png	https://storage.mds.yandex.net/get-mturk/64761/0f8c3790-78e5-4bb2-9ed7-a2269198acbc.png	https://habr.com/post/431654/	https://toster.ru/q/535674
инвентарь программиста 2019	https://storage.mds.yandex.net/get-mturk/139042/e6da2654-dc6a-4ba1-9f91-e1f2f4bd8f7e.png	https://storage.mds.yandex.net/get-mturk/67555/2fdc7f9a-a8c7-46d6-a3b5-1cd4ab0fa339.png	https://www.network-inventory-advisor.com/best-hardware-inventory-software.html	https://www.fl.ru/projects/3857845/php--mysql-inventar.html
инвентарь программиста 2019	https://storage.mds.yandex.net/get-mturk/139042/e6da2654-dc6a-4ba1-9f91-e1f2f4bd8f7e.png	https://storage.mds.yandex.net/get-mturk/767103/567d3c25-4728-46fa-8ef0-af5ec43a503c.png	https://www.network-inventory-advisor.com/best-hardware-inventory-software.html	https://g2019.su/den-programmista-v-rossii/
инвентарь программиста 2019	https://storage.mds.yandex.net/get-mturk/139042/e6da2654-dc6a-4ba1-9f91-e1f2f4bd8f7e.png	https://storage.mds.yandex.net/get-mturk/64761/0f8c3790-78e5-4bb2-9ed7-a2269198acbc.png	https://www.network-inventory-advisor.com/best-hardware-inventory-software.html	https://toster.ru/q/535674
инвентарь программиста 2019	https://storage.mds.yandex.net/get-mturk/67555/2fdc7f9a-a8c7-46d6-a3b5-1cd4ab0fa339.png	https://storage.mds.yandex.net/get-mturk/767103/567d3c25-4728-46fa-8ef0-af5ec43a503c.png	https://www.fl.ru/projects/3857845/php--mysql-inventar.html	https://g2019.su/den-programmista-v-rossii/
инвентарь программиста 2019	https://storage.mds.yandex.net/get-mturk/67555/2fdc7f9a-a8c7-46d6-a3b5-1cd4ab0fa339.png	https://storage.mds.yandex.net/get-mturk/64761/0f8c3790-78e5-4bb2-9ed7-a2269198acbc.png	https://www.fl.ru/projects/3857845/php--mysql-inventar.html	https://toster.ru/q/535674
инвентарь программиста 2019	https://storage.mds.yandex.net/get-mturk/767103/567d3c25-4728-46fa-8ef0-af5ec43a503c.png	https://storage.mds.yandex.net/get-mturk/64761/0f8c3790-78e5-4bb2-9ed7-a2269198acbc.png	https://g2019.su/den-programmista-v-rossii/	https://toster.ru/q/535674
samsung galaxy watch и samsung galaxy watch active	https://storage.mds.yandex.net/get-mturk/22497/e0f7fc6d-0c8e-44e6-8f7c-79f1d32817d5.png	https://storage.mds.yandex.net/get-mturk/23210/75a35dd8-d6a0-4125-8a74-ca4c17a75a59.png	https://mobile-review.com/news/opublikovan-predpolagaemyj-oblik-samsung-galaxy-watch-active-2	https://lvvid.net/w/samsung+galaxy+watch+active+review
samsung galaxy watch и samsung galaxy watch active	https://storage.mds.yandex.net/get-mturk/22497/e0f7fc6d-0c8e-44e6-8f7c-79f1d32817d5.png	https://storage.mds.yandex.net/get-mturk/15921/f53ca806-df09-4fe2-99f4-f3902b191deb.png	https://mobile-review.com/news/opublikovan-predpolagaemyj-oblik-samsung-galaxy-watch-active-2	http://www.akclip.com/clip-samsung-watch-samsung-galaxy-watch-vs-galaxy-wat_zsCVpuNPAtUQ
samsung galaxy watch и samsung galaxy watch active	https://storage.mds.yandex.net/get-mturk/22497/e0f7fc6d-0c8e-44e6-8f7c-79f1d32817d5.png	https://storage.mds.yandex.net/get-geosearch/15218/fce2e673-4e59-4d78-8ff0-163f67358f09	https://mobile-review.com/news/opublikovan-predpolagaemyj-oblik-samsung-galaxy-watch-active-2	https://www.samsung.com/ru/wearables/galaxy-watch-active-r500/SM-R500NZSASER/
samsung galaxy watch и samsung galaxy watch active	https://storage.mds.yandex.net/get-mturk/23210/75a35dd8-d6a0-4125-8a74-ca4c17a75a59.png	https://storage.mds.yandex.net/get-mturk/15921/f53ca806-df09-4fe2-99f4-f3902b191deb.png	https://lvvid.net/w/samsung+galaxy+watch+active+review	http://www.akclip.com/clip-samsung-watch-samsung-galaxy-watch-vs-galaxy-wat_zsCVpuNPAtUQ
samsung galaxy watch и samsung galaxy watch active	https://storage.mds.yandex.net/get-mturk/23210/75a35dd8-d6a0-4125-8a74-ca4c17a75a59.png	https://storage.mds.yandex.net/get-geosearch/15218/fce2e673-4e59-4d78-8ff0-163f67358f09	https://lvvid.net/w/samsung+galaxy+watch+active+review	https://www.samsung.com/ru/wearables/galaxy-watch-active-r500/SM-R500NZSASER/
samsung galaxy watch и samsung galaxy watch active	https://storage.mds.yandex.net/get-mturk/15921/f53ca806-df09-4fe2-99f4-f3902b191deb.png	https://storage.mds.yandex.net/get-geosearch/15218/fce2e673-4e59-4d78-8ff0-163f67358f09	http://www.akclip.com/clip-samsung-watch-samsung-galaxy-watch-vs-galaxy-wat_zsCVpuNPAtUQ	https://www.samsung.com/ru/wearables/galaxy-watch-active-r500/SM-R500NZSASER/
