query	region	url	screen
вороний холм вов	Протвино (Россия)	https://db.rising-gods.de/?object=108	https://storage.mds.yandex.net/get-mturk/30140/6d22a7fc-891b-409b-bce8-ee13e05d93e5.png
вороний холм вов	Протвино (Россия)	https://cata.wowroad.info/?item=32313	https://storage.mds.yandex.net/get-mturk/53208/d76a9e0d-f0d2-4c18-965d-b0f297fee5c5.png
вороний холм вов	Протвино (Россия)	https://cata.wowroad.info/?item=60935	https://storage.mds.yandex.net/get-mturk/898483/2e3dfcaf-9756-456d-be9e-0b0aff9aa946.png
вороний холм вов	Протвино (Россия)	https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%80%D0%BE%D0%BD%D1%8C%D1%8F_%D0%B3%D0%BE%D1%80%D0%B0	https://storage.mds.yandex.net/get-mturk/34220/3dde56bc-4d75-41dd-baa5-e3b8b7de3f9f.png
вороний холм вов	Протвино (Россия)	https://rp-wow.ru/events/4054.html	https://storage.mds.yandex.net/get-mturk/38409/bc734dc5-37f2-48d5-bfd2-a455ba0cdd95.png
вороний холм вов	Протвино (Россия)	https://tv-soyuz.ru/news/na-voroney-gore-ustanovili-krest-v-pamyat-o-vov	https://storage.mds.yandex.net/get-mturk/145915/6a814dbd-e441-4f15-8b34-2e6d6b196b3c.png
вороний холм вов	Протвино (Россия)	http://www.headwow.ru/?quest=163	https://storage.mds.yandex.net/get-mturk/40190/f4b62983-1911-43aa-a855-7e2bcb43cb67.png
вороний холм вов	Протвино (Россия)	https://base.opiums.eu/?object=111	https://storage.mds.yandex.net/get-mturk/57610/eb2045ca-cd63-4d20-8bac-362c44bc06ba.png
вороний холм вов	Протвино (Россия)	http://wow.blizzwiki.ru/index.php?title=%D0%A1%D1%83%D0%BC%D0%B5%D1%80%D0%B5%D1%87%D0%BD%D1%8B%D0%B9_%D0%BB%D0%B5%D1%81_(%D0%B4%D0%BE%D1%81%D1%82%D0%B8%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5)	https://storage.mds.yandex.net/get-mturk/153360/27d4a08c-8b7c-4ae6-8ad1-e0043b826e2a.png
вороний холм вов	Протвино (Россия)	https://www.BiblioFond.ru/view.aspx?id=800894	https://storage.mds.yandex.net/get-mturk/22497/8545928d-8871-4bd1-a2e7-0a3d81cee17f.png
asus m5a78l-m lx3 обзор	Земля	https://market.yandex.ru/product--materinskaia-plata-asus-m5a78l-m-lx3/7867662/spec	https://storage.mds.yandex.net/get-mturk/55848/a141d9e1-d667-41e1-a7c0-75a42f37dd5d.png
asus m5a78l-m lx3 обзор	Земля	https://www.nix.ru/autocatalog/motherboards_asustek/ASUS-M5A78L-M-LX3-RTL-SocketAM3-plus-AMD-760G-PCI-E-plus-SVGA-plus-GbLAN-SATA-RAID-MicroATX-2DDR3_139673.html	https://storage.mds.yandex.net/get-mturk/23442/e8a47c1e-04eb-4af9-9aaf-38e29ccb1d59.png
asus m5a78l-m lx3 обзор	Земля	https://www.citilink.ru/catalog/computers_and_notebooks/parts/motherboards/695156/obzory/	https://storage.mds.yandex.net/get-mturk/52137/bb2d9f3f-2580-4bb2-af94-617d94ab2b24.png
asus m5a78l-m lx3 обзор	Земля	http://www.testfreaks.ru/motherboards/asus-m5a78l-m-lx3/	https://storage.mds.yandex.net/get-mturk/15206/f03c94c8-e4a9-4394-9937-123fe958cced.png
asus m5a78l-m lx3 обзор	Земля	https://www.youtube.com/watch?v=SHNhrzysfFc	https://storage.mds.yandex.net/get-mturk/51636/3383c043-2859-4f33-8f59-0a1f1e05789d.png
asus m5a78l-m lx3 обзор	Земля	https://www.onlinetrade.ru/catalogue/materinskie_platy-c340/asus/fullreviews/materinskaya_plata_asus_m5a78l_m_lx3_am3_microatx-159664-r47435.html	https://storage.mds.yandex.net/get-mturk/14636/a7584d64-333d-4cb6-aaf3-5a0582f6dc30.png
asus m5a78l-m lx3 обзор	Земля	https://www.onlinetrade.ru/catalogue/materinskie_platy-c340/asus/fullreviews/materinskaya_plata_asus_m5a78l_m_lx3_am3_microatx-159664-r8265.html	https://storage.mds.yandex.net/get-mturk/243965/1f54c938-d682-4681-afe9-62d8cc32f4b8.png
asus m5a78l-m lx3 обзор	Земля	https://naobzorah.ru/motherboard/asus_m5a78l-m_lx3	https://storage.mds.yandex.net/get-mturk/57914/b089563b-aefe-449f-b1a5-24507aa37a3e.png
asus m5a78l-m lx3 обзор	Земля	https://ru.gecid.com/news/pervyy_vzglyad_na_novye_materinskie_platy_asus_m5a78l_i_m5a78l_le_dlya_soketa_amd_am3/	https://storage.mds.yandex.net/get-mturk/40311/090bc6f0-19fa-495a-bf1d-ad30f03bd305.png
asus m5a78l-m lx3 обзор	Земля	https://sidex.ru/obzor.php?id=137302	https://storage.mds.yandex.net/get-mturk/55848/2a135fb5-0a2f-4077-b776-80154edf6dc4.png
мазь вишневского	Нижний Новгород (Россия)	https://medside.ru/maz-vishnevskogo	https://storage.mds.yandex.net/get-mturk/64929/476349ed-710e-4cb9-80e4-7e1ad8c9e7f5.png
мазь вишневского	Нижний Новгород (Россия)	https://yandex.ru/health/pills/product/liniment-balzamicheskij-po-vishnevskomu-33723	https://storage.mds.yandex.net/get-mturk/34220/64a651ea-9925-4e15-ae48-d6376de2a7db.png
мазь вишневского	Нижний Новгород (Россия)	https://russian7.ru/post/maz-vishnevskogo-kakoy-vred-ona-mozhet/	https://storage.mds.yandex.net/get-mturk/369523/57137af2-afd0-41f2-ad9f-36cc478e233a.png
мазь вишневского	Нижний Новгород (Россия)	https://uplady.ru/zdorove/poleznye-sredstva/ot-chego-pomogaet-dlya-chego-primenyaetsya-maz-vishnevskogo-sostav-primenenie-analogi.html	https://storage.mds.yandex.net/get-mturk/68142/de78bb6c-f918-4fb3-8111-bf02042eec28.png
мазь вишневского	Нижний Новгород (Россия)	https://www.obozrevatel.com/health/lekarstva/maz-vishnevskogo.htm	https://storage.mds.yandex.net/get-mturk/176892/d082349e-19db-4025-be4b-ce1209439877.png
мазь вишневского	Нижний Новгород (Россия)	https://womane.ru/balzam-vishnevskogo-instrukciya-primeneniya-lechenie-boleznej-vospalenij-travm.html	https://storage.mds.yandex.net/get-mturk/64007/1a546672-797c-4a68-a3df-6d9a88b14323.png
мазь вишневского	Нижний Новгород (Россия)	http://boleznikogi.com/ot-chego-pomogaet-maz-vishnevskogo	https://storage.mds.yandex.net/get-mturk/53927/8c685101-06bc-4c0a-ac1b-2b692970045b.png
мазь вишневского	Нижний Новгород (Россия)	https://oren.ru/pochemu-maz-vishnevskogo/	https://storage.mds.yandex.net/get-mturk/55848/3ef0af4d-643f-4a89-a78f-344d310e225f.png
мазь вишневского	Нижний Новгород (Россия)	https://rasteniya-lecarstvennie.ru/2795-maz-vishnevskogo-primenenie-instrukciya-po-primeneniyu-pokazaniya-protivopokazaniya.html	https://storage.mds.yandex.net/get-mturk/59150/bf281503-26b7-4141-8225-230f9de348a6.png
мазь вишневского	Нижний Новгород (Россия)	https://indicator.ru/article/2017/07/20/maz-vishnevskogo/	https://storage.mds.yandex.net/get-mturk/108096/055cc7ba-9640-4a92-ae30-59caef0cd2b8.png
почта gmail вход	Санкт-Петербург (Россия)	https://apps.apple.com/ru/app/gmail-%D0%BF%D0%BE%D1%87%D1%82%D0%B0-%D0%BE%D1%82-google/id422689480	https://storage.mds.yandex.net/get-mturk/29516/c843b337-deff-47a6-bfce-b77cc5848bbb.png
почта gmail вход	Санкт-Петербург (Россия)	https://yandex.ru/local/events/90733	https://storage.mds.yandex.net/get-mturk/100555/2d19e5a0-f57f-4aa6-9d0d-693fb88d3e2f.png
почта gmail вход	Санкт-Петербург (Россия)	https://ru.wikipedia.org/wiki/Gmail	https://storage.mds.yandex.net/get-mturk/33284/be8eacc5-9e81-4ee3-9be7-7a70831356c9.png
почта gmail вход	Санкт-Петербург (Россия)	https://e.mail.ru/login	https://storage.mds.yandex.net/get-mturk/14636/0a86afac-cbd3-48e5-8106-242d16a7ab67.png
почта gmail вход	Санкт-Петербург (Россия)	https://www.gmail.com/mail/help/intl/ru/about.html?de	https://storage.mds.yandex.net/get-mturk/43447/43e36dc4-1765-40f8-bad0-1d54853f775d.png
почта gmail вход	Санкт-Петербург (Россия)	https://gmail.com/	https://storage.mds.yandex.net/get-mturk/135075/786f80ca-7c73-48c3-bcbf-a85476a09c55.png
почта gmail вход	Санкт-Петербург (Россия)	https://www.google.com/intl/ru/gmail/about/for-work/	https://storage.mds.yandex.net/get-mturk/36745/6f1096d7-091f-44c1-a7da-7d265479854f.png
почта gmail вход	Санкт-Петербург (Россия)	https://www.google.ru/mail/help/work.html	https://storage.mds.yandex.net/get-mturk/476213/e5cf1e5e-eff3-4ead-bee5-9bafaa3c7a31.png
почта gmail вход	Санкт-Петербург (Россия)	http://pc4me.ru/3122.html	https://storage.mds.yandex.net/get-mturk/40252/0484c549-193e-437e-88bc-5fb92cb13686.png
почта gmail вход	Санкт-Петербург (Россия)	http://hsl.guru/gmail-com-pochta-vhod-v-gugl-pochtu/	https://storage.mds.yandex.net/get-mturk/64113/9c7fe0da-bf86-4260-bd83-27721c0f3e8c.png
календарь дежурств пожарной охраны 2019 год	Коркино (Россия)	https://spravka01.ru/grafik_karaulov/	https://storage.mds.yandex.net/get-mturk/67456/e2018061-b8c1-4e59-91b2-ed050933c7e6.png
календарь дежурств пожарной охраны 2019 год	Коркино (Россия)	https://vk.com/topic-31039380_30240965	https://storage.mds.yandex.net/get-mturk/53927/2e176ef5-771b-4419-a663-94ba32dc6bed.png
календарь дежурств пожарной охраны 2019 год	Коркино (Россия)	https://pikabu.ru/story/avtraliyskie_pozharnyie_vyipustili_kalendar_na_2019_6211315	https://storage.mds.yandex.net/get-geosearch/15218/fce2e673-4e59-4d78-8ff0-163f67358f09
календарь дежурств пожарной охраны 2019 год	Коркино (Россия)	https://fireman.club/grafik-dezhurnyx-karaulov/	https://storage.mds.yandex.net/get-mturk/37080/61463617-bb32-4684-ba09-d386d5f05fa2.png
календарь дежурств пожарной охраны 2019 год	Коркино (Россия)	http://www.bezengi.ru/ru/node/312	https://storage.mds.yandex.net/get-mturk/66374/b5621355-b0f7-4999-a2c4-6ddb0adf5b5b.png
календарь дежурств пожарной охраны 2019 год	Коркино (Россия)	https://fireguys.ru/grafik_karaulov/grafik-karaulov-na-2019-god-knizhnyi-format.html	https://storage.mds.yandex.net/get-mturk/43447/90cb82de-27b4-48a6-85f0-c49c0f80695a.png
календарь дежурств пожарной охраны 2019 год	Коркино (Россия)	https://fireguys.ru/documentation/organizacija-sluzhby/karaulnaja-sluzhba/-smena-karaulov-v-podrazdelenijah-pozharnoi-ohrany.html	https://storage.mds.yandex.net/get-mturk/64007/f28948a5-26b5-4f8f-8b6a-c2364cc1d006.png
календарь дежурств пожарной охраны 2019 год	Коркино (Россия)	https://pressa.tv/foto/86590-novyy-kalendar-ot-avstraliyskih-pozharnyh-na-2019-god.html	https://storage.mds.yandex.net/get-mturk/51762/e74aea81-b3ef-46fd-aae8-30ef84c4c617.png
календарь дежурств пожарной охраны 2019 год	Коркино (Россия)	https://namvd.ru/grafik-dezhurstv-mchs-na-god-kak-sostavit-grafik-smennosti/	https://storage.mds.yandex.net/get-mturk/164189/b954145c-9523-4e3e-933d-ba4bda4fbcba.png
календарь дежурств пожарной охраны 2019 год	Коркино (Россия)	https://ok.ru/firemanclub/topic/66952209847629	https://storage.mds.yandex.net/get-mturk/30623/701b5b66-b6a1-4e43-8e19-4863c4226bc7.png